Date,open,high,low,close,adjclose,volume,ingested_at_utc
2018-05-04,158000.0,160000.0,156500.0,158000.0,118141.40625,448848,2026-03-03 06:42:14.237280+00:00
2018-05-08,158500.0,161000.0,154500.0,156000.0,116645.953125,595219,2026-03-03 06:42:14.237280+00:00
2018-05-09,154500.0,156000.0,153500.0,153500.0,114776.6171875,513770,2026-03-03 06:42:14.237280+00:00
2018-05-10,152500.0,154000.0,150500.0,152000.0,113655.0234375,747954,2026-03-03 06:42:14.237280+00:00
2018-05-11,152000.0,154000.0,151500.0,153000.0,114402.734375,319288,2026-03-03 06:42:14.237280+00:00
2018-05-14,153500.0,154500.0,150500.0,151000.0,112907.2734375,439028,2026-03-03 06:42:14.237280+00:00
2018-05-15,150000.0,151500.0,148000.0,148500.0,111037.96875,611470,2026-03-03 06:42:14.237280+00:00
2018-05-16,148500.0,151500.0,146000.0,150500.0,112533.4375,599945,2026-03-03 06:42:14.237280+00:00
2018-05-17,150500.0,151000.0,149500.0,149500.0,111785.6953125,297968,2026-03-03 06:42:14.237280+00:00
2018-05-18,148500.0,150000.0,148000.0,150000.0,112159.5703125,330193,2026-03-03 06:42:14.237280+00:00
2018-05-21,149500.0,151000.0,149000.0,149000.0,111411.828125,332251,2026-03-03 06:42:14.237280+00:00
2018-05-23,147000.0,148500.0,144000.0,144500.0,108047.03125,1062994,2026-03-03 06:42:14.237280+00:00
2018-05-24,144000.0,144500.0,139000.0,140000.0,104682.25,1387498,2026-03-03 06:42:14.237280+00:00
2018-05-25,139500.0,141000.0,138500.0,139000.0,103934.5234375,697859,2026-03-03 06:42:14.237280+00:00
2018-05-28,139000.0,140500.0,138000.0,138500.0,103560.6484375,498199,2026-03-03 06:42:14.237280+00:00
2018-05-29,139500.0,141000.0,139000.0,140000.0,104682.25,471953,2026-03-03 06:42:14.237280+00:00
2018-05-30,138500.0,139500.0,136000.0,137500.0,102812.9375,648596,2026-03-03 06:42:14.237280+00:00
2018-05-31,139000.0,140000.0,137500.0,139000.0,103934.5234375,835047,2026-03-03 06:42:14.237280+00:00
2018-06-01,138500.0,140000.0,137500.0,140000.0,104682.25,395619,2026-03-03 06:42:14.237280+00:00
2018-06-04,140000.0,144000.0,139000.0,143000.0,106925.4609375,903195,2026-03-03 06:42:14.237280+00:00
2018-06-05,143500.0,144000.0,140500.0,142500.0,106551.6015625,374748,2026-03-03 06:42:14.237280+00:00
2018-06-07,142000.0,144000.0,141500.0,142500.0,106551.6015625,511413,2026-03-03 06:42:14.237280+00:00
2018-06-08,142000.0,142500.0,140000.0,141000.0,105429.9765625,539842,2026-03-03 06:42:14.237280+00:00
2018-06-11,140000.0,140500.0,139000.0,139500.0,104308.3828125,441032,2026-03-03 06:42:14.237280+00:00
2018-06-12,140000.0,142000.0,139500.0,140500.0,105056.125,486396,2026-03-03 06:42:14.237280+00:00
2018-06-14,138500.0,139000.0,135000.0,135000.0,100943.6171875,1036041,2026-03-03 06:42:14.237280+00:00
2018-06-15,136000.0,136500.0,133000.0,134000.0,100195.8828125,762750,2026-03-03 06:42:14.237280+00:00
2018-06-18,134500.0,136500.0,134500.0,135000.0,100943.6171875,497745,2026-03-03 06:42:14.237280+00:00
2018-06-19,134000.0,135000.0,131000.0,131500.0,98326.5546875,781548,2026-03-03 06:42:14.237280+00:00
2018-06-20,130500.0,131500.0,129000.0,129500.0,96831.0859375,595333,2026-03-03 06:42:14.237280+00:00
2018-06-21,129500.0,130500.0,127000.0,127000.0,94961.7578125,608003,2026-03-03 06:42:14.237280+00:00
2018-06-22,126000.0,131000.0,125000.0,130000.0,97204.953125,716503,2026-03-03 06:42:14.237280+00:00
